path,label
../audio_data/gtzan_mini/metal/metal.00000.mp3,metal
../audio_data/gtzan_mini/metal/metal.00004.mp3,metal
../audio_data/gtzan_mini/hiphop/hiphop.00009.mp3,hiphop
../audio_data/gtzan_mini/hiphop/hiphop.00008.mp3,hiphop
../audio_data/gtzan_mini/hiphop/hiphop.00011.mp3,hiphop
../audio_data/gtzan_mini/classical/classical.00001.mp3,classical
../audio_data/gtzan_mini/hiphop/hiphop.00006.mp3,hiphop
../audio_data/gtzan_mini/hiphop/hiphop.00000.mp3,hiphop
../audio_data/gtzan_mini/metal/metal.00010.mp3,metal
../audio_data/gtzan_mini/classical/classical.00004.mp3,classical
../audio_data/gtzan_mini/hiphop/hiphop.00005.mp3,hiphop
../audio_data/gtzan_mini/hiphop/hiphop.00019.mp3,hiphop
../audio_data/gtzan_mini/metal/metal.00009.mp3,metal
../audio_data/gtzan_mini/hiphop/hiphop.00003.mp3,hiphop
../audio_data/gtzan_mini/metal/metal.00011.mp3,metal
../audio_data/gtzan_mini/classical/classical.00013.mp3,classical
../audio_data/gtzan_mini/classical/classical.00019.mp3,classical
../audio_data/gtzan_mini/metal/metal.00008.mp3,metal
../audio_data/gtzan_mini/metal/metal.00001.mp3,metal
../audio_data/gtzan_mini/classical/classical.00006.mp3,classical
../audio_data/gtzan_mini/hiphop/hiphop.00014.mp3,hiphop
../audio_data/gtzan_mini/classical/classical.00012.mp3,classical
../audio_data/gtzan_mini/classical/classical.00017.mp3,classical
../audio_data/gtzan_mini/metal/metal.00003.mp3,metal
../audio_data/gtzan_mini/metal/metal.00018.mp3,metal
../audio_data/gtzan_mini/hiphop/hiphop.00018.mp3,hiphop
../audio_data/gtzan_mini/metal/metal.00017.mp3,metal
../audio_data/gtzan_mini/metal/metal.00015.mp3,metal
../audio_data/gtzan_mini/classical/classical.00002.mp3,classical
../audio_data/gtzan_mini/classical/classical.00007.mp3,classical
../audio_data/gtzan_mini/classical/classical.00000.mp3,classical
../audio_data/gtzan_mini/hiphop/hiphop.00013.mp3,hiphop
../audio_data/gtzan_mini/hiphop/hiphop.00010.mp3,hiphop
../audio_data/gtzan_mini/classical/classical.00015.mp3,classical
../audio_data/gtzan_mini/hiphop/hiphop.00012.mp3,hiphop
../audio_data/gtzan_mini/classical/classical.00008.mp3,classical
../audio_data/gtzan_mini/classical/classical.00009.mp3,classical
../audio_data/gtzan_mini/hiphop/hiphop.00007.mp3,hiphop
../audio_data/gtzan_mini/metal/metal.00006.mp3,metal
../audio_data/gtzan_mini/hiphop/hiphop.00004.mp3,hiphop
../audio_data/gtzan_mini/classical/classical.00011.mp3,classical
../audio_data/gtzan_mini/metal/metal.00012.mp3,metal
../audio_data/gtzan_mini/hiphop/hiphop.00017.mp3,hiphop
../audio_data/gtzan_mini/classical/classical.00014.mp3,classical
../audio_data/gtzan_mini/hiphop/hiphop.00002.mp3,hiphop
../audio_data/gtzan_mini/metal/metal.00007.mp3,metal
../audio_data/gtzan_mini/metal/metal.00002.mp3,metal
../audio_data/gtzan_mini/metal/metal.00014.mp3,metal
../audio_data/gtzan_mini/metal/metal.00013.mp3,metal
../audio_data/gtzan_mini/hiphop/hiphop.00001.mp3,hiphop
../audio_data/gtzan_mini/classical/classical.00003.mp3,classical
../audio_data/gtzan_mini/classical/classical.00018.mp3,classical
../audio_data/gtzan_mini/metal/metal.00005.mp3,metal
../audio_data/gtzan_mini/classical/classical.00010.mp3,classical
